tweet,name,max_result,negative,neutral,positive,date,likes,author_follower,location,url,Fake,User Experience,Performance,Security
"Devina ng3we pakai daster 🤤
https://t.co/yUmi1mPj5k
https://t.co/eXPoVv9d7N
https://t.co/9tERQE8e0D
https://t.co/ZcXRfvNKWr
https://t.co/24i6HnspTM

Tele https://t.co/fXgm4QKMhe

anime doodstream manga onepiece barbie netflix music spotify sports #MUFC #viralvideo https://t.co/mmt1EzA5g5",AURA SINTA,neutral,0.025597035884857178,0.8474242091178894,0.126978799700737,2024-04-08 17:37:51+00:00,113,4627,,https://twitter.com/AuraSintaDODO/status/1777390413848150472,0,0,0,0
jokes of the year 😁 #devinai #ChatGPT https://t.co/XM2gD7oOqf,Prime Code,neutral,0.028816692531108856,0.5947985649108887,0.3763847053050995,2024-04-10 03:11:08+00:00,0,23,,https://twitter.com/PrimeCode01/status/1777897073872138491,0,0,0,0
@devinamehra @_nirajshah That was a great interview there Niraj. Always a joy listening to Devina Ma’am. She has been a mentor to many of us. Would love to meet you both in person and just listen.,Manjunath Hiremath,positive,0.00489009078592062,0.019485322758555412,0.9756246209144592,2024-04-13 12:48:45+00:00,3,322,,https://twitter.com/songofbirds/status/1779129599127130164,0,0,0,0
"@KeanuReeves5747 Give thanks with a grateful heart for He has given Jesus Christ, his son.",Devina,positive,0.01142663974314928,0.04775937274098396,0.9408140182495117,2024-04-08 18:18:58+00:00,5,797,Republic of Mauritius,https://twitter.com/Devina712996249/status/1777400759740502018,0,0,0,0
"#DevinAI represents the cutting edge of #AI and #SoftwareEngineering. Yet while its capabilities are impressive, it cannot (and should not) replace human software engineers. https://t.co/JPQmXbZEWP",Dr. Oliver Gausmann,positive,0.057781897485256195,0.249516561627388,0.692701518535614,2024-04-15 08:00:28+00:00,0,38,,https://twitter.com/olivergausmann/status/1779781826497659121,0,0,0,0
"At Vidiemme we're monitoring the landscape of #GenAI-enabled development tools. 
Until now each tool has focused on a single phase, but new tools manage the entire #SoftwareDevelopment cycle: DevinAI stands out as the most complete one.
Learn more about⬇️
https://t.co/5hgZNaHxAC https://t.co/JrSN3VZwoD",Vidiemme,positive,0.03715548664331436,0.4136112630367279,0.5492332577705383,2024-04-09 14:17:20+00:00,1,557,,https://twitter.com/Vidiemmesrl/status/1777702337571643537,0,0,0,0
"AI #Coding Is Going From Copilot to Autopilot → But so far Devin #AI and others still really need humans

https://t.co/QeKuHyCb9O

#AICoding #DevinAI #ArtificialIntelligence #MachineLearning #developer #coding #programming #coding https://t.co/37XXMUnged",Dr Efi Pylarinou,neutral,0.12221776694059372,0.7604183554649353,0.11736388504505157,2024-04-11 10:01:13+00:00,0,24353,Switzerland,https://twitter.com/efipm/status/1778362660280562055,0,0,0,0
"We brought together practitioners and professionals with educators and researchers today for our Panel on ‘GenAI and the Future of Media and Creative Industries'
@CityUniLondon @CityUniSCC https://t.co/UIbY5xsqcS",Devina Sarwatay,neutral,0.020904261618852615,0.8422679305076599,0.13682781159877777,2024-04-09 18:28:56+00:00,27,1752,,https://twitter.com/DevinaSarwatay/status/1777765657293083101,0,0,0,0
grass chopper machine https://t.co/zL7m63sTe2,Devina Wang,neutral,0.016793614253401756,0.9570909142494202,0.02611544542014599,2024-04-09 00:32:42+00:00,0,67,,https://twitter.com/devina_wang/status/1777494813321187495,0,0,0,0
SAVEDDD https://t.co/ZNYHms0AK9,Devina🍉,neutral,0.02047552727162838,0.9210332632064819,0.05849127471446991,2024-04-09 23:19:15+00:00,0,846,,https://twitter.com/devinawidya/status/1777838716255715563,0,0,0,0
"Who hasn’t thought of a sabbatical? But is it a good time to take that break & if you have , can you make a return now? 

@Kamalkaranth & I discuss if the risk is worth the break . Dropping latest 🎙️🎧The Working Life @livemint 

https://t.co/HtM4tMCgWe",Devina Sengupta,neutral,0.08466257154941559,0.5343481302261353,0.3809893727302551,2024-04-16 03:42:09+00:00,5,6709,India,https://twitter.com/DevinaSengupta/status/1780079204589351095,0,0,0,0
Exciting times are ahead for $IMARO (IMARO). #LBank #lbankAngel,devina erlyna cevly,positive,0.010356161743402481,0.08467760682106018,0.9049662351608276,2024-04-08 06:13:54+00:00,3,91,,https://twitter.com/vinaerlynacev60/status/1777218292262031496,0,0,0,0
"Bhai, getting sad over a couple IN A TV SHOW is a new low for me",maxina,negative,0.9696785807609558,0.024316910654306412,0.006004436872899532,2024-04-15 21:46:43+00:00,1,201,India,https://twitter.com/DevinaMaxina/status/1779989756627272039,0,0,0,0
@thachopitahsan1 @officialtsatsii Thanks sis..😍,devina♥,positive,0.011529983021318913,0.09076692163944244,0.8977031111717224,2024-04-14 18:59:54+00:00,1,133,,https://twitter.com/devina67386489/status/1779585388958417278,0,0,0,0
"@broadleafthyme Childhood friends I haven't seen for while hmmmmmm

The one girl who used to live at the head of the street ....can't remember her name....(her mother said she's in paris)

Another girl named candacy 

Another girl named mikayla 

Devina?

Who are you https://t.co/3K3sRBJ3wj",NoviceMagusPitt🧙🏾‍♂️🇬🇾,neutral,0.059265993535518646,0.893990695476532,0.046743378043174744,2024-04-09 23:15:52+00:00,0,562,Guyana,https://twitter.com/Abyssking48/status/1777837865923182892,0,0,0,0
Omg....... this is SO CUTE 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭🥺🍊🧎‍♀️🙏🙏🙏🙏,devina,positive,0.006114067975431681,0.02840946987271309,0.9654764533042908,2024-04-14 15:36:39+00:00,0,9,,https://twitter.com/Foudroyant123/status/1779534239010267143,0,0,0,0
"EID AL-FITR MENU
Opor Ayam Kuning - Recipe | (with English subtitles)

Yellow chicken coconut soup. Opor ayam comes from Central Java. https://t.co/vDUnIc3EGR
Suitable to eat w/ ketupat. https://t.co/N0NWJbHW3x

Just click Devina Hermawan's Youtube Channel
https://t.co/hijJSQwNMt https://t.co/JjUlSSCjNg",Chef 𝗔𝗥𝗘𝗟𝗟𝗔,neutral,0.028457259759306908,0.6208049058914185,0.3507378399372101,2024-04-09 13:36:10+00:00,27,4583,,https://twitter.com/Chef_Arella/status/1777691978010161641,0,0,0,0
"Devin AI cant even take a  simple work task 
And Youngsters are in the fear Of Losing tech jobs 
Work on Yourself 
Degree,certificate❌ 
Skills, experience✅
These AI's can't replace humans in today's times 
Human Brain can't be replace with AI
#AI #Devin #DevinAI https://t.co/Clslo27JFN",Daksh Pandita,negative,0.6712856292724609,0.27364352345466614,0.05507085472345352,2024-04-15 07:58:45+00:00,0,2,,https://twitter.com/pandita_daksh/status/1779781392366199266,0,0,0,0
"A great first hustings for @SadiqKhan at the brilliant run event at @JW3London for London’s Jewish community. Great to be there and see him clearly walking the walk when it comes to building communities and cohesion, not barriers divisiveness, in London.",Devina4Labour,positive,0.005297014955431223,0.041058361530303955,0.9536446332931519,2024-04-11 21:56:27+00:00,10,46,,https://twitter.com/Devina4Labour/status/1778542656513364269,0,0,0,0
"ILITMA AVLAK Beylikdüzü,Beşiktaş,Bakırköy,Şişli,Ataşehir,istanbul TURGOR @ₑ̓͢ẛ̓͢c̓͢ₒ̓͢ᵣ̓͢ₜ̓͢s‌‌ https://t.co/yvdtHJwYrx",Shruti Devina,neutral,0.03705758973956108,0.9134315252304077,0.0495108962059021,2024-04-09 21:51:21+00:00,8,0,,https://twitter.com/devina_shr65779/status/1777816595441578282,0,0,0,0
"DARILIVERMEK Mecidiyeköy,Üsküdar,Esenyurt,Levent,Tuzla,Taksim GARİBE NAĞME @ₑ̓͢ẛ̓͢c̓͢ₒ̓͢ᵣ̓͢ₜ̓͢s‌‌ https://t.co/ThWDBgReS2",Shruti Devina,neutral,0.031099198386073112,0.9081681966781616,0.060732703655958176,2024-04-09 21:51:23+00:00,8,0,,https://twitter.com/devina_shr65779/status/1777816603796619739,0,0,0,0
update sunrise 🌥️ https://t.co/EVJFlp0Vdt,depina,neutral,0.014689506962895393,0.947044849395752,0.03826557844877243,2024-04-08 22:52:03+00:00,1,702,,https://twitter.com/devina_devvv/status/1777469483348807701,0,0,0,0
"@Pontifex @Pontifex_es  @Palestine_UN @UNOCHA  @palestinepmo @XHNews @NHKWORLD_News @MahmudAbbasPS  @PMOIndia @idfonline @palestine @Azizahhanum_h @reallycaviezel @DrLoupis 
@CIA @Oprah @AP @FBI @hermawan_devina @EvaVlaar @margbrennan @scotgov  @SCOTUSBrettKav 
SATAN AT THE DOOR!",Brian Venis,neutral,0.15698282420635223,0.6833269596099854,0.15969017148017883,2024-04-09 04:41:05+00:00,1,500,,https://twitter.com/VenisBrian54854/status/1777557321222426742,0,0,0,0
"How to Embrace and Not Fear Devin AI 🤖
#devinai #ArtificialInteligence https://t.co/3AUwAxcBF7",DarkLegion,neutral,0.06595052033662796,0.5201215147972107,0.41392794251441956,2024-04-12 05:40:23+00:00,0,54,India,https://twitter.com/darklegionx1010/status/1778659407993458984,0,0,0,0
"Is devin ai is fake?
#devinai",lokendra.X,neutral,0.08724258840084076,0.8856013417243958,0.027156036347150803,2024-04-15 15:28:43+00:00,1,38,Nepal,https://twitter.com/lokendra_x/status/1779894628931825793,0,0,0,0
English is still my highest scoring subject😭😭 https://t.co/2VWpRuguhZ,maxina,neutral,0.14475907385349274,0.5368080139160156,0.31843286752700806,2024-04-08 08:30:10+00:00,5,201,India,https://twitter.com/DevinaMaxina/status/1777252583155064850,0,0,0,0
"Between the #HumaneAI and #DevinAI news circulating, I think it's important to call out sub par technology jumping on the hype train to try and make a quick buck.

From $699 for a pin with a below average interface from Humane and to a lesser extent the faked marketing video from Cognition, these should be called out by influencers and content creators with honestly.

We saw this behaviour in Crypto land but that was confined mostly to DeFI... AI is much more widely spread.

These companies jumping on the AI bandwagon are effectively forms of ponzi schemes if they can't deliver on their promises.",Anthony Spiteri 🇦🇺🇲🇹,neutral,0.3274857699871063,0.4866380989551544,0.18587611615657806,2024-04-16 03:42:21+00:00,1,13554,,https://twitter.com/anthonyspiteri/status/1780079254065266890,0,0,0,0
"Great to be out in sunny Kingston last night with the super South West @LondonAssembly candidate @MarcelaBenede10 
@LondonLabour  need all 3 votes on 2nd May
Don’t forget the new voter id requirements 

https://t.co/4feWC9NlAf https://t.co/PzScDZ2G4Y",Devina4Labour,positive,0.01108977384865284,0.12109381705522537,0.8678164482116699,2024-04-10 08:06:08+00:00,22,46,,https://twitter.com/Devina4Labour/status/1777971309911106014,0,0,0,0
"🚨 Debunked! 🚨 The truth about Devin AI's Upwork lie is out! 🕵️‍♂️ Don't fall for the smoke and mirrors, folks. Let's dive into the facts together. What are your thoughts on this revelation? #DevinAI #Upwork #Debunked #TruthRevealed #GPT #ArtificialIntelligence",Digita1Panda,neutral,0.16934768855571747,0.5534936189651489,0.2771586775779724,2024-04-16 01:17:43+00:00,1,67,,https://twitter.com/Digita1Panda/status/1780042855764898206,0,0,0,0
"Devina Sofiyanti's in-development debut feature ‘THE HEIRLOOMS’ has been selected to present in Ho Chi Minh City International Film Festival (HIFF) Project Market x Autumn Meeting 2024. This project is being developed from the director's short film titled ‘Heirlooms’ starring Laras Sardi which has recently claim victory in folk horror program at Final Girls Berlin Film Festival.

The logline reads:
Rana, who is followed by a Pocong, has to go to a remote village to get rid of the ghost. Until she realizes the village trapped her and the only way out is to embrace her ability which may cause the Pocong to hurt the villagers.",Film Indo Source,neutral,0.3331921696662903,0.6079899072647095,0.05881793424487114,2024-04-11 13:25:45+00:00,17,10703,Indonesia,https://twitter.com/FilmIndoSource/status/1778414133987463630,0,0,0,0
News coming out the results of DevinAi were a scam 😭😭,Hitesh,negative,0.5205207467079163,0.4492972791194916,0.030182024464011192,2024-04-15 19:34:58+00:00,2,451,,https://twitter.com/mezzala_10/status/1779956599936934374,0,0,0,0
I will hold you dearly ✨ https://t.co/I5p2lyV7LI,berisorbet09,positive,0.1366715431213379,0.3185460567474365,0.5447824001312256,2024-04-08 17:56:13+00:00,0,1,,https://twitter.com/SiaDevina/status/1777395037401403660,0,0,0,0
Good one Devina @devinamehra,Amit,positive,0.004959362559020519,0.04867095872759819,0.9463697075843811,2024-04-13 04:23:56+00:00,1,417,,https://twitter.com/amitnath2014/status/1779002557903380954,0,0,0,0
"open vcs berbayar
real no tipu2
wa 0822-8101-0891
#vcs https://t.co/508qwcvr9D",Devina,neutral,0.025791147723793983,0.9240344166755676,0.050174467265605927,2024-04-15 11:03:29+00:00,8,509,,https://twitter.com/AbrArere12/status/1779827884271763803,0,0,0,0
"We wish you peace, prosperity and happiness this Eid al-Fitr.
عيد مبارك
Selamat Hari Raya Idul Fitri
عید مبارک
ঈদ মোবারক

🎨: Devina Jain https://t.co/R5xcZay67M",Malala Fund,positive,0.016697097569704056,0.11354117840528488,0.8697617053985596,2024-04-09 20:20:00+00:00,113,621701,,https://twitter.com/MalalaFund/status/1777793606344151105,0,0,0,0
"zevce beylikdüzü,şişli @ₑ̓͢ẛ̓͢c̓͢ₒ̓͢ᵣ̓͢ₜ̓͢s  atmak  Büyükçekmece,Ümraniye,Kağıthane,Kartal https://t.co/Kqk9ETRaNl",Ricardo Devina,neutral,0.033719491213560104,0.910735011100769,0.055545538663864136,2024-04-08 22:06:31+00:00,0,0,,https://twitter.com/DevinaRica86738/status/1777458027387326786,0,0,0,0
@telyufess Cobain beli disinii ka https://t.co/TrolnXbqNe,anaknya buKartini,neutral,0.03797145560383797,0.8710424900054932,0.090985968708992,2024-04-09 10:32:01+00:00,0,1,,https://twitter.com/devina_permatas/status/1777645636248027456,0,0,0,0
@akincnr @sekuyaofficial @SingularityDAO Sekuya to the moon 🔥😎 @MMCrypto @bull_bnb @justinsuntron #Sekuya $SKYA,BarbiedBarbie,neutral,0.018649980425834656,0.9216364622116089,0.059713516384363174,2024-04-09 07:17:50+00:00,1,91,,https://twitter.com/DevinaSela14904/status/1777596770152800481,0,0,0,0
"DevinAI is a lie

https://t.co/EojUC6UoC0
https://t.co/c6n4HKZB80
#devinai #news #fake",Musab Shaikh,negative,0.6539486050605774,0.3100791573524475,0.03597221523523331,2024-04-16 06:30:06+00:00,0,1,United Arab Emirates,https://twitter.com/musabs2802/status/1780121471504789922,0,0,0,0
can contact me if need diesel engine machines https://t.co/mAxkTSLaj7,Devina Wang,neutral,0.017672276124358177,0.951285719871521,0.031041989102959633,2024-04-08 01:51:27+00:00,0,67,,https://twitter.com/devina_wang/status/1777152245160890765,0,0,0,0
"The perfect Tuesday situation 😁

#TravelTuesday https://t.co/J0e1zwvrVC",Devina,positive,0.010946238413453102,0.08123332262039185,0.907820463180542,2024-04-16 06:26:08+00:00,0,238,India,https://twitter.com/im_devinaa/status/1780120473386508664,0,0,0,0
"Ì hope I will ya 
https://t.co/Btu5dDy5BT",gemini antifragile,positive,0.017001764848828316,0.11709429323673248,0.865903913974762,2024-04-10 07:19:11+00:00,0,21,,https://twitter.com/itsmemaydcn/status/1777959497065279613,0,0,0,0
pls pls,devina 𐚁,neutral,0.016189267858862877,0.9590023159980774,0.024808473885059357,2024-04-07 16:09:15+00:00,0,876,,https://twitter.com/lem0nddtea/status/1777005728651530730,0,0,0,0
These tips and tricks lead the way to a less-cluttered kitchen. #homeprojects #storage  https://t.co/gLzZJ9aHnX,Devina Cagle,neutral,0.08575978130102158,0.768521785736084,0.14571841061115265,2024-04-07 21:29:52+00:00,0,15,,https://twitter.com/HomesByDevina/status/1777086416234721376,0,0,0,0
"Nu știu cum oameni care păreau decenți ajung să devină astfel de mega scârbe, precum Rafila.
Cam ăsta e traseul multora care dau de putere, e suficient să-i uzi cu funcții și gata, încolțește jegu-n ei.
https://t.co/BznmXCDYN9",Adrian Mihaltianu,neutral,0.07728029042482376,0.6781377196311951,0.24458204209804535,2024-04-15 11:07:32+00:00,85,7619,,https://twitter.com/thezvoner/status/1779828903877496864,0,0,0,0
Cuteeee 😭😭,devina,positive,0.013667208142578602,0.10875476151704788,0.87757807970047,2024-04-12 00:17:06+00:00,0,9,,https://twitter.com/Foudroyant123/status/1778578052253106275,0,0,0,0
"Just saw this on YouTube.

How are such ads still being allowed?

Fines on a few on a post facto basis is not a deterrent, given how many people can be fooled meantime and crores raked in. https://t.co/vDvgl8TTrP",Devina Mehra,negative,0.6298007965087891,0.2947891354560852,0.07541001588106155,2024-04-15 03:09:55+00:00,46,28226,España,https://twitter.com/devinamehra/status/1779708706470658349,0,0,0,0
"Live on twitch ~~~
https://t.co/42L1NFSeEb",maxina,neutral,0.01191182341426611,0.9329697489738464,0.055118415504693985,2024-04-08 18:03:03+00:00,2,201,India,https://twitter.com/DevinaMaxina/status/1777396755983724877,0,0,0,0
"This! ↓
#devinai https://t.co/QZAhW4R6r7",bassdag 🧡,neutral,0.02248271182179451,0.9372457265853882,0.0402715690433979,2024-04-15 22:29:25+00:00,0,31,,https://twitter.com/GuevaraBass/status/1780000502165475735,0,0,0,0
"#devinAI #ChatGPT  #upwork   
Devin AI just secured funding from VC's. 🤑💰💰💰💰💵💵💵 https://t.co/U4talfk8zb",shivam,neutral,0.03176455199718475,0.7347374558448792,0.23349791765213013,2024-04-15 11:51:07+00:00,0,0,India,https://twitter.com/shivam1944101/status/1779839870749286645,0,0,0,0
"The company lied about the capabilities of DEVIN. Looks like our developer jobs our safe for few more years.
Watch this video by Internet of bugs for more details.

P.S. - Jobs will always be there, if you are skilled enough.

#devinai #AI #SoftwareEngineer #technology #TechNews https://t.co/geyPsYQQCr",HARSH DEEP,neutral,0.1869964897632599,0.5678929090499878,0.2451106458902359,2024-04-15 18:55:10+00:00,0,11,,https://twitter.com/HARSHDE54509460/status/1779946586040406435,0,0,0,0
"The product manager AI assured the marketing director AI that the product would be ready to launch by deadline.
Now the customer AI is going to be really angry. 😂

#devinai #memesdaily #MEMEAI #SoftwareEngineer https://t.co/ZVVFl0qfVF",Mitesh 💻 | DEV,negative,0.8835175633430481,0.10003957897424698,0.016442758962512016,2024-04-16 03:34:05+00:00,1,121,India,https://twitter.com/mitesh_viras/status/1780077173627609162,0,0,0,0
"Babe is a spec!! 🔥🔥😍😍
#Tsatsiimadiba",devina♥,neutral,0.02439097873866558,0.8884586691856384,0.08715034276247025,2024-04-10 19:31:08+00:00,22,133,,https://twitter.com/devina67386489/status/1778143696535405001,0,0,0,0
"@devinamehra @safiranand @bsindia True Devina- lot of hyped up managers with poor performance records and no one asks them this basic question. Just like @GSpier , @MohnishPabrai and @Iamsamirarora",Bobby Vas,negative,0.7297664284706116,0.23778077960014343,0.03245280310511589,2024-04-16 03:59:37+00:00,2,9,,https://twitter.com/vas_bobby/status/1780083600341205010,0,0,0,0
"People come , people go, but you stay. https://t.co/2l5V7cFx8a",berisorbet09,neutral,0.021246878430247307,0.9423855543136597,0.036367617547512054,2024-04-10 01:54:07+00:00,0,1,,https://twitter.com/SiaDevina/status/1777877692245033244,0,0,0,0
"""Devin AI-first AI software engineer is a big lie? 🚨 Exposing the deception and misleading hype surrounding #DevinAI! Let's demand transparency and honesty in the tech industry to avoid misinformation and maintain integrity. #AI #TechIndustry #Decept https://t.co/FCgRhJNAAa",Grand Panda,negative,0.48411181569099426,0.39801326394081116,0.11787492781877518,2024-04-13 11:30:02+00:00,0,234,,https://twitter.com/grandiopanda/status/1779109788317577713,0,0,0,0
@EverythingKeanu Congratulations finally get settled with the right person .,Devina,positive,0.005380717106163502,0.04567365348339081,0.9489455819129944,2024-04-14 19:22:48+00:00,2,797,Republic of Mauritius,https://twitter.com/Devina712996249/status/1779591153748435044,0,0,0,0
"User authentication is a fundamental capability, but Devin AI relies on external services for this feature. Does this compromise their supposed AI prowess?

🔗 https://t.co/n2m2dAq7w3

#devinai #gptv #React #nodejs #typescript #Nextjs #Nestjs #AI #Copilot",Matthew Husák,neutral,0.21917513012886047,0.6715719699859619,0.10925287008285522,2024-04-12 13:48:32+00:00,2,311,,https://twitter.com/matej_husak/status/1778782253822214565,0,0,0,0
Nothing feels better than being loved by someone who really sees you,berisorbet09,neutral,0.1681324988603592,0.45864972472190857,0.3732178509235382,2024-04-08 07:48:17+00:00,0,1,,https://twitter.com/SiaDevina/status/1777242042323841192,0,0,0,0
"Gave Destiny and Devina a redesign! Ignore the wonky arm positions and bad posing, that’s not important https://t.co/u0fh3Wtmrr",Alice Noelle-Jackson,negative,0.7142786979675293,0.2359190136194229,0.04980230703949928,2024-04-14 03:25:58+00:00,0,0,,https://twitter.com/Alice_Noelle_J/status/1779350357635743890,0,0,0,0
"Hello, another afternoon with no electricity 😔",maxina,neutral,0.0789698138833046,0.9031814336776733,0.017848778516054153,2024-04-11 10:25:01+00:00,4,201,India,https://twitter.com/DevinaMaxina/status/1778368650002784437,0,0,0,0
This face is gonna haunt me forever https://t.co/e8NkjPYYSw,maxina,negative,0.7143573760986328,0.21853770315647125,0.06710498780012131,2024-04-14 11:21:39+00:00,1,201,India,https://twitter.com/DevinaMaxina/status/1779470066125537556,0,0,0,0
"A warm reception in a breezy Hillingdon today, speaking to residents ahead of the London elections on 2nd May with @SadiqKhan and @BassamMahfouz 
 Make all 3 votes Labour votes and remember to check what ID you now need to bring to vote
https://t.co/4feWC9NlAf",Devina4Labour,positive,0.023841673508286476,0.20824167132377625,0.7679166793823242,2024-04-07 16:07:02+00:00,1,46,,https://twitter.com/Devina4Labour/status/1777005171798634735,0,0,0,0
"I didnt😭🫶
(Out of 25) https://t.co/TPP6G129aF",maxina,neutral,0.05700870230793953,0.9031783938407898,0.039812881499528885,2024-04-12 08:28:40+00:00,2,201,India,https://twitter.com/DevinaMaxina/status/1778701757385670984,0,0,0,0
"First Global's Devina Mehra cautious on market in the near term, adds new names to portfolio

@_soniashenoy @_prashantnair @Reematendulkar 

https://t.co/v2O1dQn4oy",CNBC-TV18,neutral,0.21970900893211365,0.6611529588699341,0.11913808435201645,2024-04-10 14:26:52+00:00,8,1308869,India,https://twitter.com/CNBCTV18Live/status/1778067125841605114,0,0,0,0
"Always stay tuned for the future ;)
#devinAI 
#cognitionlabs 

https://t.co/DroENxP0PC https://t.co/DNiNDAlTlr",Mohammad Toghoz,neutral,0.022044768556952477,0.767952024936676,0.21000315248966217,2024-04-15 19:01:35+00:00,0,12,Syria,https://twitter.com/MToghoz/status/1779948201119731861,0,0,0,0
